productName,brand,price,thcContent,cbdContent,category,rating,reviewCount,dispensaryCount,market,searchQuery,url,image
Sour Green Apple CBG:THC 1:1 THC Fruit Chews - AZ,Smokiez Edibles,25.00,100mg,,GUMMIES,4.8,5,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-sour-green-apple-100mg-thc-fruit-chews-az,
Smokiez Edibles Blackberry 100mg Thc Fruit Chews Az,Smokiez Edibles,25.00,100mg,,GUMMIES,5.0,3,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-blackberry-100mg-thc-fruit-chews-az,
Smokiez Edibles Sour Watermelon Indica 100mg Thc Live Resin Fruit Chews Wa,Smokiez Edibles,16.80,100mg,,GUMMIES,5.0,1,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-sour-watermelon-indica-100mg-thc-live-resin-fruit-chews-wa,
Huckleberry Hybrid Enhanced Gummies,WYLD,23.00,100mg,,GUMMIES,4.8,48,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-huckleberry-hybrid-enhanced-gummies,
Khalifa Kush Flower | 3.5g - Khalifa Kush,,45.00,,,,4.2,6,,Los Angeles,THC gummies,https://weedmaps.com/brands/khalifa-kush/products/brandproduct-11145-c3962c91-b9a8-40a3-b8a8-fda5193b4cbf,
Green Apple CBG:THC 1:1 THC Fruit Chews - AZ,Smokiez Edibles,25.00,100mg,,GUMMIES,5.0,2,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-green-apple-100mg-thc-fruit-chews-az,
Smokiez Edibles Peach Sativa 100mg Thc Fruit Chews Or,Smokiez Edibles,25.00,100mg,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-peach-sativa-100mg-thc-fruit-chews-or,
Pioneer Squares by Craft Elixirs,,23.10,10mg,100mg,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/craft-elixirs/products/craft-elixirs-10-1-black-blueberry-100mgcbd-10mgthc-gummies,
Smokiez Edibles Watermelon Indica 100mg Thc Live Resin Fruit Chews Wa,Smokiez Edibles,21.00,100mg,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-watermelon-indica-100mg-thc-live-resin-fruit-chews-wa,
Live Diamonds - Hibiscus - 1g (OK),,45.50,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-live-diamonds-hibiscus-1g-ok,
Khalifa Mints Single Pre-Roll 1G,,13.00,,,,5.0,14,,Los Angeles,THC gummies,https://weedmaps.com/brands/khalifa-kush/products/khalifa-kush-kk-pre-roll,
Smokiez Edibles Sour Watermelon 100mg Cbn 100mg Thc 1 1 Fruit Chews Ok,Smokiez Edibles,30.00,100mg,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-sour-watermelon-100mg-cbn-100mg-thc-1-1-fruit-chews-ok,
Coco Pebbles | Premier Live Resin Diamonds Extract | 1g,,45.50,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-coco-pebbles-premier-live-resin-diamonds-extract-1g,
Maui Waui | Melted Diamond Live Resin Vaporizer | 1.0g (Ready-to-Use),,51.00,,,,4.5,117,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-rove-ready-to-use-live-resin-diamond-vaporizer-maui-waui-s-1-0g,
Fruit Punch | Melted Diamond Live Resin Vaporizer | 1.0g (Ready-to-Use),,51.00,,,,4.7,115,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-rove-ready-to-use-live-resin-diamond-vaporizer-fruit-punch-s-1-0g,
Dynamite Cookies 1g Pre-roll,,10.80,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/tyson20/products/tyson20-dynamite-cookies-1g-pre-roll,
Pear 1:1 THC:CBG Hybrid Enhanced Gummies 100:100mg,WYLD,21.00,10mg,,GUMMIES,4.8,16,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-1358f07e-3112-4a6d-9d9d-a11838341601,
Sky OG | 2g Melted Diamond Live Resin Vaporizer | 2x 1g (Reload),,42.00,,,PODS,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-a25ce8b3-8221-45c3-ae10-a9eafcef2996,
RSO Original | Durban Poison | Sativa | 1g | DOH,,22.00,,,,5.0,1,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-rso-original-durban-poison-sativa-1g-doh,
Blue Dream | Melted Diamond Live Resin Vaporizer | 1.0g (Ready-to-Use),,51.00,,,,4.7,129,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-blue-dream-100-live-resin-diamond-vaporizer-1-0g-ready-to-use,
Granddaddy Purp | Melted Diamond Live Resin Vape | 1.0g (Ready-To-Use),,51.00,,,,4.6,111,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-grand-daddy-purp-100-live-resin-diamond-vaporizer-1-0g-ready-to-use,
Smokiez Edibles Guava Indica 100mg Thc Live Resin Fruit Chews Wa,Smokiez Edibles,21.00,100mg,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-guava-indica-100mg-thc-live-resin-fruit-chews-wa,
Smokiez SATIVA Sour Peach Fruit Chews - 100mg 10pk - WA,Smokiez Edibles,16.80,100mg,10mg,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-sativa-sour-peach-fruit-chews-100mg-10pk-wa,
Indica 1g Preroll,,10.80,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/tyson20/products/tyson20-indica-1g-preroll-d7ab1796-e685-494f-9479-c3c80fd95e4a,
Papaya Cake | Premier Live Resin Diamonds Extract | 0.5g,,45.50,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-papaya-cake-premier-live-resin-diamonds-extract-0-5g,
Orange Crush | Melted Diamond Live Resin Vaporizer | 1.0g (Ready-To-Use),,51.00,,,,4.5,49,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-orange-crush-melted-diamond-live-resin-vaporizer-1-0g-ready-to-use,
Sour Cherry Indica Enhanced Gummies | 100mg,WYLD,18.00,10mg,,GUMMIES,4.9,105,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-sour-cherry-indica-enhanced-gummies-100mg,
CBN RSO Original | Purple Cadillac CBN | Hybrid | 7 x 1g,,23.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbn-rso-original-purple-cadillac-cbn-hybrid-7-x-1g-aec28937-6e5c-40f0-a69e-916dbfc80ed7,
THC RSO Original | Sour Alien | Indica | 1g,,16.10,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-thc-rso-original-sour-alien-indica-1g-46825625-fbc8-4636-a50a-b335c17818f1,
Peach 2:1 CBD + Hybrid Enhanced Gummies | 100mg,WYLD,21.00,5mg,10mg,GUMMIES,4.8,37,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-peach-2-1-cbd-hybrid-enhanced-gummies-100mg,
THC RSO Original | Blackberry Kush | Indica | 3 x 1g,,25.20,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-thc-rso-original-blackberry-kush-indica-3-x-1g,
Smokiez HYBRID Sour Watermelon Fruit Chews - 100mg 10pk - WA,Smokiez Edibles,16.80,100mg,10mg,GUMMIES,5.0,1,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-hybrid-sour-watermelon-fruit-chews-100mg-10pk-wa,
Smokiez SATIVA Sour Tropical Fruit Chews - 100mg 10pk - WA,Smokiez Edibles,16.80,100mg,10mg,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-sativa-sour-tropical-fruit-chews-100mg-10pk-wa,
Smokiez INDICA Sour Blackberry Fruit Chews - 100mg 10pk - WA,Smokiez Edibles,25.00,100mg,10mg,GUMMIES,4.0,1,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-indica-sour-blackberry-fruit-chews-100mg-10pk-wa,
Smokiez Edibles Sour Mango Sativa 100mg Thc Live Resin Fruit Chews Wa,Smokiez Edibles,25.00,100mg,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-sour-mango-sativa-100mg-thc-live-resin-fruit-chews-wa,
Smokiez SATIVA Tropical Fruit Chews - 100mg 10pk - WA,Smokiez Edibles,16.80,100mg,10mg,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-sativa-tropical-fruit-chews-100mg-10pk-wa,
Ray S Lemonade Mango Lil Ray S 100mg Thc,Ray's Lemonade,14.00,100mg,,,3.0,2,,Los Angeles,THC gummies,https://weedmaps.com/brands/ray-s-lemonade/products/ray-s-lemonade-mango-lil-ray-s-100mg-thc,
Smokiez Edibles Sour Guava Indica 100mg Thc Live Resin Fruit Chews Wa,Smokiez Edibles,16.80,100mg,,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-sour-guava-indica-100mg-thc-live-resin-fruit-chews-wa,
THC RSO Original | Cake Crasher | Sativa | 1g,,22.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-thc-rso-original-cake-crasher-sativa-1g-6bfd42bb-7cf7-4fa2-8b0f-af96b2ef50b4,
Smokiez SATIVA Sour Tropical Fruit Chews - 100mg - ME,Smokiez Edibles,20.00,100mg,,GUMMIES,5.0,2,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-sativa-sour-tropical-fruit-chews-100mg-me,
Smokiez SATIVA Peach Fruit Chews - 100mg 10pk - WA,Smokiez Edibles,16.80,100mg,10mg,GUMMIES,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-sativa-peach-fruit-chews-100mg-10pk-wa,
CBG RSO Original | The White CBG | 1g | DOH+,,22.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-cbg-original-the-white-cbg-1g-doh,
Sour Peach CBD Fruit Chews - 250 mg - WA,Smokiez Edibles,18.00,10mg,250mg,GUMMIES,5.0,1,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-sour-green-apple-delta-8-thc-fruit-chews-250-mg-wa,
THC RSO Original | Cherry OG | Hybrid | 1g,,22.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/skagit-organics/products/skagit-organics-thc-rso-original-cherry-og-hybrid-1g,
