domain,brand,monthlyVisits,bounceRate,pagesPerVisit,avgVisitDuration,globalRank,countryRank,category,categoryRank,trafficSourceSearch,trafficSourceDirect,trafficSourceSocial,visits_month1,visits_month2,visits_month3,visits_month1_date,visits_month2_date,visits_month3_date,topCountry,topCountryShare,trafficSourceReferral,trafficSourceMail,trafficSourcePaid
justcbdstore.com,Just CBD,83894,0.46956244745511455,5.215041816419817,164.94036179832125,289688,58406,Food_and_Drink/Restaurants_and_Delivery,951,0.3857773618656843,0.5415887069203343,0.02527658567768933,71340,75774,83894,2025-12-01,2026-01-01,2026-02-01,US,0.9810726213947625,0.04136903089379218,0.001266016203154234,0.004640678026642688
feals.com,Feals,132735,0.4871669702033371,2.5386522406876586,64.68337045005487,271930,56248,Lifestyle/Beauty_and_Cosmetics,765,0.12885924623075473,0.5902321769321575,0.2095902705651153,126228,160609,132735,2025-12-01,2026-01-01,2026-02-01,US,0.9178329178683132,0.06680382221790393,0.0016270147996746507,0.0024587459194137674
neurogan.com,Neurogan,81600,0.4952171072600199,2.2411119972984523,70.68750433530467,410261,118449,Business_and_Consumer_Services/Business_Services,1614,0.5444453451046121,0.38927894077303904,0.012889801476806585,105120,118618,81600,2025-12-01,2026-01-01,2026-02-01,US,0.6873866765348132,0.04507400787232005,0.0007892885275040497,0.006163789579941835
secretnaturecbd.com,Secret Nature,,,,,,,,,,,,,,,,,,,,,,
area52.com,Area 52,41792,0.32666004341330696,2.4538778271987933,54.034369354031035,642195,189972,Lifestyle/Fashion_and_Apparel,5347,0.42088988097099317,0.42790394716669905,0.01211285384230667,44120,45661,41792,2025-12-01,2026-01-01,2026-02-01,US,0.7240971858160995,0.12555983218473893,0.0009157303071917108,0.011129079359469085
kanhalife.com,Kanha,4278,0.6117404539727009,1.500358037774883,42.23733993140974,4073464,1170318,,,0.26165512513838496,0.4791773056482252,0.17628460219341477,20880,13719,4278,2025-12-01,2026-01-01,2026-02-01,US,0.9999999999999997,0.06671565351711362,0.0010217432320550114,0.01514557027080631
mood.com,Mood,1605734,0.41630759540250517,4.88249853472481,178.41845482562218,27947,5572,Lifestyle/Fashion_and_Apparel,255,0.214595698974306,0.6786932531625975,0.030596569565673394,1661997,1780985,1605734,2025-12-01,2026-01-01,2026-02-01,US,0.8751989722704577,0.06610983021685156,0.0016117718669493922,0.0081321492561925
lazarusnaturals.com,Lazarus Naturals,196354,0.39171392985891806,6.0926471081221285,232.9173196808417,143716,29103,Health/Health,687,0.2747976217452066,0.6346727737058148,0.025363953087165016,248125,259256,196354,2025-12-01,2026-01-01,2026-02-01,US,0.9720932382939093,0.059373957837527754,0.0016225169887370068,0.003926146604840303
slumbercbn.com,Slumber,62177,0.4138964756395232,2.2711521184359773,40.54411911867844,501003,122675,Health/Addictions,268,0.30247509920668403,0.5394236148279392,0.047821823417427405,32676,34670,62177,2025-12-01,2026-01-01,2026-02-01,US,0.8815254659335148,0.08421476225272087,0.0018999412186322523,0.024113724529831487
skywellness.com,Sky Wellness,11419,0.5031590127642381,6.015071289460004,197.73403626488977,1331382,307941,Pets_and_Animals/Pet_Food_and_Supplies,1587,0.28445182785601836,0.4849292442266555,0.15943395190134108,7761,13183,11419,2025-12-01,2026-01-01,2026-02-01,US,0.9999999999999998,0.05751995253798685,0.0009826626301341567,0.012682360847864053
vidaoptimacbd.com,Vida Optima,5880,0.1896243467678811,8.065365177630225,140.3462524900049,1959104,475095,Health/Health,7786,0.35656343885558284,0.47259076817854523,0.1041806346591387,3653,1870,5880,2025-12-01,2026-01-01,2026-02-01,US,0.9999999999999999,0.05303509571654474,0.0005223564913389857,0.013107706098849585
botanyfarms.com,Botany Farms,22530,0.3938227353819401,4.280292005406342,104.84732615156206,836661,204851,Health/Addictions,480,0.35640523215876013,0.5615798572672396,0.02214345460085045,40538,44019,22530,2025-12-01,2026-01-01,2026-02-01,US,0.831073803017655,0.042031767649342446,0.0009903863782712034,0.015911671869316607
cannariver.com,Canna River,93816,0.41357947944418294,7.4144575209391395,178.01390844231355,232009,48911,Health/Health,1084,0.3107310349885674,0.5921689045263335,0.01640617435179098,151666,96869,93816,2025-12-01,2026-01-01,2026-02-01,US,0.837020292523472,0.06926148918558446,0.0011004279189776639,0.00931334413217737
flyingmonkeyusa.com,Flying Monkey,50778,0.29585690789861424,4.3095805746002105,134.67095957718564,477558,98744,Food_and_Drink/Restaurants_and_Delivery,1644,0.3180928310215188,0.522596308561401,0.09524296839886139,26729,55461,50778,2025-12-01,2026-01-01,2026-02-01,US,0.9856964043428991,0.05332441583419824,0.0007539747338342075,0.009902751068294028
venacbd.com,Vena CBD,94062,0.40564869551579674,2.842991337713219,56.99772331035022,331565,70285,Food_and_Drink/Groceries,539,0.1838052994942948,0.6746448757469795,0.029832162339920434,81149,69546,94062,2025-12-01,2026-01-01,2026-02-01,US,0.8619897134681284,0.08274670279401772,0.0014041856131770457,0.02696763862566263
drinkcann.com,CANN,94132,0.4694269175623188,4.052809065710922,133.10188240945308,299631,70183,Computers_Electronics_and_Technology/Graphics_Multimedia_and_Web_Design,504,0.33891193430565625,0.5479908228558328,0.03346112015619824,111901,83343,94132,2025-12-01,2026-01-01,2026-02-01,US,0.7895124999034557,0.07253650481889005,0.0016199216500238994,0.004656500420256105
drinkbrez.com,BREZ,97389,0.37219156029964573,4.851661321933824,118.87949854345536,274250,67740,Business_and_Consumer_Services/Online_Marketing,144,0.3355420386757362,0.564493110681368,0.02585915137270897,99449,100484,97389,2025-12-01,2026-01-01,2026-02-01,US,0.7478229195890156,0.06498589502844168,0.0015021188756953665,0.0068902985133970154
mellowfellow.fun,Mellow Fellow,159353,0.4378466593764328,4.208987390203093,168.04649229563017,196191,42211,Business_and_Consumer_Services/Business_Services,597,0.40901139493281236,0.5351491586965096,0.012002919723556006,286283,216696,159353,2025-12-01,2026-01-01,2026-02-01,US,0.8665505112634115,0.03795358021655189,0.0006010884316833562,0.004717540576170532
dadgrass.com,Dad Grass,56565,0.42939456722806035,4.1475941062926065,119.07708752216938,429468,110404,Food_and_Drink/Restaurants_and_Delivery,1840,0.33171892180206036,0.5363233366537412,0.06752380066798953,52764,52392,56565,2025-12-01,2026-01-01,2026-02-01,US,0.7648103034983427,0.04599400536881189,0.0017480757712842643,0.016509857343985235
